gen|time|evals|best_fit|best_size|pop_size
1|3.578841|132061|2077933.646554|29|4000
2|7.100155|275929|1302432.413954|23|4000
3|10.856220|436498|1045645.971394|29|4000
4|14.665031|607670|1045636.419188|29|4000
5|19.564335|787058|997036.197220|31|4000
6|24.300618|971462|907931.670081|25|4000
7|28.925387|1158357|905572.795911|25|4000
8|33.278388|1347752|823113.586061|29|4000
9|38.307432|1538748|823113.586061|29|4000
10|42.589226|1730304|737092.876706|27|4000
11|46.958154|1922789|706579.511166|27|4000
12|51.429681|2116048|701732.046941|27|4000
13|55.927851|2310035|701732.046941|27|4000
14|60.537651|2503943|701732.046941|27|4000
15|64.970707|2698316|701732.046941|27|4000
16|69.575783|2892309|689963.112467|27|4000
17|74.090178|3085389|689810.761938|27|4000
18|78.369119|3267233|689810.761938|27|4000
19|83.997927|3438734|689810.761938|27|4000
20|89.851287|3607366|689810.761938|27|4000
21|94.904450|3769470|689810.761938|27|4000
22|100.693672|3934851|689810.761938|27|4000
23|106.217073|4100667|689810.761938|27|4000
24|111.409412|4265201|688657.090986|29|4000
25|116.615673|4430485|688657.090986|29|4000
26|121.706193|4593991|687276.423516|29|4000
27|127.109233|4755045|682213.517105|29|4000
28|132.287926|4913147|682213.517105|29|4000
29|139.242807|5069293|677151.566968|31|4000
30|143.990910|5223479|677151.566968|31|4000
31|149.513925|5376570|677151.566968|31|4000
32|154.778016|5528396|677151.566968|31|4000
33|160.289973|5679561|670900.748475|31|4000
34|164.978294|5829868|670900.748475|31|4000
35|169.712006|5978146|670900.748475|31|4000
36|174.366546|6126680|670900.748475|31|4000
37|179.424342|6272989|670900.748475|31|4000
38|184.167296|6418199|670900.748475|31|4000
39|188.833954|6558633|670900.748475|31|4000
40|193.583043|6693231|659925.398064|31|4000
41|198.280612|6822881|659925.398064|31|4000
42|202.651943|6952873|659925.398064|31|4000
43|207.423527|7094714|659925.398064|31|4000
44|212.178199|7239122|659925.398064|31|4000
45|216.755392|7382225|659925.398064|31|4000
46|221.341109|7520199|659925.398064|31|4000
47|225.897128|7660674|659925.398064|31|4000
48|230.800300|7804561|659925.398064|31|4000
49|235.465276|7936887|659925.398064|31|4000
50|239.837666|8058075|659925.398064|31|4000
