gen|time|evals|best_fit|best_size|pop_size
1|2.888267|107222|0.096005|25|4000
2|4.955953|201273|0.090180|25|4000
3|6.837357|275259|0.089310|25|4000
4|8.625060|349711|0.085517|31|4000
5|10.311258|413524|0.084151|31|4000
6|12.001523|476038|0.083316|25|4000
7|13.657214|538064|0.083316|25|4000
8|15.275794|599638|0.082801|25|4000
9|16.893542|659510|0.081552|27|4000
10|18.502505|720185|0.079619|27|4000
11|20.014172|780979|0.079612|29|4000
12|21.529886|841002|0.078835|27|4000
13|22.993375|896726|0.077384|23|4000
14|24.487075|947057|0.077384|23|4000
15|25.880463|992535|0.074104|25|4000
16|27.249132|1035748|0.074104|25|4000
17|28.686427|1078397|0.074104|25|4000
18|30.101907|1121991|0.074104|25|4000
19|31.507821|1167260|0.074104|25|4000
20|32.991503|1214339|0.072515|29|4000
21|34.405140|1261595|0.072104|29|4000
22|35.855845|1310495|0.071978|25|4000
23|37.337337|1361146|0.070789|31|4000
24|38.874852|1416505|0.070789|31|4000
25|40.390265|1476809|0.070789|31|4000
26|41.947642|1542833|0.070563|31|4000
27|43.382785|1608606|0.070563|31|4000
28|44.405168|1626652|0.070091|25|4000
29|45.329468|1640023|0.068460|11|4000
30|46.274918|1653966|0.068460|11|4000
31|47.193906|1668203|0.068131|11|4000
32|48.183046|1683320|0.068131|11|4000
33|49.211732|1699392|0.068131|11|4000
34|50.287628|1717198|0.068131|11|4000
35|51.375748|1737816|0.068131|11|4000
36|52.453146|1762621|0.068131|11|4000
37|53.648510|1805196|0.068131|11|4000
38|54.819705|1837669|0.066752|11|4000
39|55.843547|1862696|0.062438|31|4000
40|56.765727|1875291|0.062438|31|4000
41|57.671378|1885959|0.057997|31|4000
42|58.595296|1896856|0.057887|31|4000
43|59.472688|1908078|0.057887|31|4000
44|60.379554|1919750|0.057887|31|4000
45|61.248719|1931715|0.057505|31|4000
46|62.158781|1944352|0.057505|31|4000
47|63.033979|1957741|0.057505|31|4000
48|63.990915|1972265|0.057119|31|4000
49|64.971345|1988242|0.057119|31|4000
50|65.946684|2006619|0.057119|31|4000
