gen|time|evals|best_fit|best_size|pop_size
1|3.044136|107222|0.096005|25|4000
2|5.318977|201273|0.090180|25|4000
3|7.300658|275259|0.089310|25|4000
4|9.291098|349711|0.085517|31|4000
5|11.086817|413524|0.084151|31|4000
6|12.829738|476038|0.083316|25|4000
7|14.619779|538064|0.083316|25|4000
8|16.421405|599638|0.082801|25|4000
9|18.208403|659510|0.081552|27|4000
10|19.942339|720185|0.079619|27|4000
11|21.673711|780979|0.079612|29|4000
12|23.421152|841002|0.078835|27|4000
13|25.106622|896726|0.077384|23|4000
14|26.697129|947057|0.077384|23|4000
15|28.267497|992535|0.074104|25|4000
16|29.936514|1035748|0.074104|25|4000
17|31.732049|1078397|0.074104|25|4000
18|33.321853|1121991|0.074104|25|4000
19|35.064674|1167260|0.074104|25|4000
20|36.850571|1214339|0.072515|29|4000
21|38.682522|1261595|0.072104|29|4000
22|40.468125|1310495|0.071978|25|4000
23|42.162903|1361146|0.070789|31|4000
24|43.860070|1416505|0.070789|31|4000
25|45.574181|1476809|0.070789|31|4000
26|47.371384|1542833|0.070563|31|4000
27|49.060442|1608606|0.070563|31|4000
28|50.190769|1626652|0.070091|25|4000
29|51.469230|1640023|0.068460|11|4000
30|52.627625|1653966|0.068460|11|4000
31|53.963271|1668203|0.068131|11|4000
32|55.050162|1683320|0.068131|11|4000
33|56.114318|1699392|0.068131|11|4000
34|57.228580|1717198|0.068131|11|4000
35|58.445868|1737816|0.068131|11|4000
36|59.669230|1762621|0.068131|11|4000
37|61.035295|1805196|0.068131|11|4000
38|62.444737|1837669|0.066752|11|4000
39|63.626002|1862696|0.062438|31|4000
40|64.652377|1875291|0.062438|31|4000
41|65.702343|1885959|0.057997|31|4000
42|66.889164|1896856|0.057887|31|4000
43|68.056289|1908078|0.057887|31|4000
44|69.134282|1919750|0.057887|31|4000
45|70.182637|1931715|0.057505|31|4000
46|71.239162|1944352|0.057505|31|4000
47|72.340755|1957741|0.057505|31|4000
48|73.403918|1972265|0.057119|31|4000
49|74.618150|1988242|0.057119|31|4000
50|75.796272|2006619|0.057119|31|4000
51|76.921516|2028940|0.057119|31|4000
52|78.164955|2057048|0.057119|31|4000
53|79.476744|2093540|0.057119|31|4000
54|80.667516|2115504|0.057119|31|4000
55|81.747065|2134664|0.057119|31|4000
56|82.909700|2155890|0.056666|31|4000
57|84.070718|2178912|0.056666|31|4000
58|85.282150|2207374|0.056666|31|4000
59|86.503187|2237202|0.056666|31|4000
60|87.747455|2265976|0.056666|31|4000
61|89.054636|2301401|0.056666|31|4000
62|90.544974|2348194|0.056666|31|4000
63|91.813750|2378439|0.056666|31|4000
64|92.947454|2396546|0.054581|31|4000
65|93.999962|2412247|0.054581|31|4000
66|95.035199|2424346|0.054581|31|4000
67|96.076719|2436550|0.054581|31|4000
68|97.156753|2450773|0.054581|31|4000
69|98.301300|2468841|0.054581|31|4000
70|99.618967|2500353|0.054581|31|4000
71|100.956899|2535004|0.054581|31|4000
72|102.032501|2547305|0.054581|31|4000
73|103.070759|2558061|0.054581|31|4000
74|104.106010|2569326|0.054581|31|4000
75|105.163468|2580941|0.054581|31|4000
76|106.176643|2593149|0.054581|31|4000
77|107.227068|2606317|0.054581|31|4000
78|108.342111|2620571|0.054581|31|4000
79|109.443242|2636767|0.054581|31|4000
80|110.582139|2655214|0.054581|31|4000
81|111.798926|2678272|0.054581|31|4000
82|113.213238|2709983|0.054581|31|4000
83|114.867553|2756384|0.054581|31|4000
84|116.735420|2820407|0.054581|31|4000
85|119.092841|2903787|0.054581|31|4000
86|121.591405|2990812|0.054581|31|4000
87|124.241302|3084695|0.054581|31|4000
88|127.245142|3193572|0.054581|31|4000
89|129.936227|3287521|0.054581|31|4000
90|131.566234|3322814|0.054581|31|4000
91|133.102385|3355062|0.054581|31|4000
92|134.504870|3376956|0.054581|31|4000
93|135.778255|3397923|0.054581|31|4000
94|137.867702|3465796|0.054581|31|4000
95|139.609871|3520093|0.054581|31|4000
96|140.804830|3539563|0.054581|31|4000
97|142.037857|3557217|0.054581|31|4000
98|143.388926|3579954|0.054581|31|4000
99|144.988858|3621162|0.054581|31|4000
100|147.199048|3694167|0.054581|31|4000
