gen|time|evals|best_fit|best_size|pop_size
1|2.498486|113686|0.214529|23|4000
2|4.531630|207980|0.205210|15|4000
3|6.442601|297976|0.199376|13|4000
4|8.243721|385048|0.199009|9|4000
5|9.869969|451426|0.196164|19|4000
6|11.389792|511492|0.193947|19|4000
7|12.822224|564849|0.193947|19|4000
8|14.199283|612373|0.193947|19|4000
9|15.522732|654489|0.187118|27|4000
10|16.854246|694948|0.187118|27|4000
11|18.155839|735491|0.187118|27|4000
12|19.481819|776247|0.187118|27|4000
13|20.786341|818494|0.187118|27|4000
14|22.123989|862150|0.187118|27|4000
15|23.462592|906295|0.187118|27|4000
16|24.824402|952106|0.187118|27|4000
17|26.201030|998684|0.187118|27|4000
18|27.559834|1046386|0.187118|27|4000
19|28.925703|1095204|0.184543|25|4000
20|30.324198|1147456|0.183523|25|4000
21|31.851102|1208833|0.182118|25|4000
22|33.467699|1286456|0.181739|31|4000
23|35.241181|1384222|0.181739|31|4000
24|37.166136|1497634|0.179195|31|4000
25|39.067786|1610695|0.179195|31|4000
26|40.995666|1722977|0.179161|31|4000
27|42.875351|1830198|0.179161|31|4000
28|44.844737|1937060|0.179161|31|4000
29|46.695123|2042861|0.179161|31|4000
30|48.560959|2147304|0.179043|25|4000
31|50.278203|2241477|0.179043|25|4000
32|51.792455|2303240|0.179043|25|4000
33|53.171461|2356660|0.179043|25|4000
34|54.568054|2414395|0.177977|29|4000
35|56.175843|2497878|0.177780|29|4000
36|57.874118|2591094|0.177759|29|4000
37|59.359250|2663430|0.176891|29|4000
38|60.529152|2695809|0.176891|29|4000
39|61.769390|2730701|0.176543|31|4000
40|63.091415|2773204|0.176543|31|4000
41|64.611660|2836001|0.176543|31|4000
42|66.653300|2940800|0.176543|31|4000
43|68.934200|3064781|0.172656|31|4000
44|70.951537|3166276|0.172095|31|4000
45|72.752008|3245295|0.170932|31|4000
46|74.546696|3323484|0.168574|31|4000
47|76.401975|3402343|0.166263|31|4000
48|78.252423|3482307|0.166263|31|4000
49|79.854116|3549034|0.166263|31|4000
50|81.445775|3610242|0.166263|31|4000
