gen|time|evals|best_fit|best_size|pop_size
1|3.988429|147200|0.209589|31|4000
2|7.634916|286476|0.205203|31|4000
3|11.240812|423919|0.198621|31|4000
4|15.567978|565451|0.191648|31|4000
5|20.042842|726014|0.186218|31|4000
6|24.387020|880212|0.182175|31|4000
7|28.943863|1046017|0.179686|31|4000
8|33.421641|1207854|0.176143|31|4000
9|37.702243|1365569|0.174364|31|4000
10|41.925665|1517757|0.174314|31|4000
11|45.713682|1645020|0.174314|31|4000
12|49.101026|1759165|0.173418|31|4000
13|52.561893|1868904|0.173418|31|4000
14|56.211985|1978310|0.173418|31|4000
15|59.908330|2081218|0.173418|31|4000
16|63.642739|2176687|0.173418|31|4000
17|67.230362|2268802|0.173418|31|4000
18|70.884980|2367100|0.173418|31|4000
19|74.557295|2464177|0.173418|31|4000
20|78.182644|2561793|0.173418|31|4000
21|81.884240|2662150|0.173418|31|4000
22|85.651574|2764045|0.173418|31|4000
23|89.405497|2863612|0.173418|31|4000
24|93.168342|2964200|0.173418|31|4000
25|96.806142|3063544|0.173418|31|4000
26|100.492448|3165312|0.173418|31|4000
27|104.268756|3269294|0.173418|31|4000
28|107.957610|3372687|0.173418|31|4000
29|111.604619|3473246|0.173418|31|4000
30|115.296084|3570381|0.173418|31|4000
31|119.093873|3669851|0.173418|31|4000
32|122.807345|3770543|0.173418|31|4000
33|126.740851|3872476|0.173418|31|4000
34|130.991726|3975371|0.173418|31|4000
35|134.794797|4073728|0.173418|31|4000
36|138.388832|4171078|0.173418|31|4000
37|142.243595|4272526|0.173418|31|4000
38|145.859946|4371593|0.173418|31|4000
39|149.427158|4466697|0.173418|31|4000
40|153.183225|4564393|0.173418|31|4000
41|157.001948|4662931|0.173418|31|4000
42|160.745064|4756665|0.173418|31|4000
43|164.594103|4853964|0.173418|31|4000
44|168.250691|4951497|0.173418|31|4000
45|171.878326|5050004|0.173418|31|4000
46|175.557090|5146040|0.173418|31|4000
47|179.290038|5245624|0.173418|31|4000
48|183.031822|5345744|0.173418|31|4000
49|186.776076|5443680|0.173418|31|4000
50|190.498163|5543670|0.173418|31|4000
