gen|time|evals|best_fit|best_size|pop_size
1|5.126621|228535|0.204305|31|8000
2|9.817430|434734|0.201360|27|8000
3|14.182921|618587|0.197277|29|8000
4|18.294774|791461|0.195548|31|8000
5|22.221977|942549|0.192901|13|8000
6|26.033993|1088184|0.191639|15|8000
7|29.758738|1228879|0.191639|15|8000
8|33.398205|1361009|0.191639|15|8000
9|37.072314|1486598|0.191639|15|8000
10|40.663481|1607300|0.188495|25|8000
11|44.231114|1728321|0.188495|25|8000
12|47.827846|1852094|0.188495|25|8000
13|51.463523|1981418|0.188161|25|8000
14|55.164872|2111715|0.187411|25|8000
15|58.810658|2234956|0.187411|25|8000
16|62.393213|2356121|0.185993|17|8000
17|66.037548|2462173|0.184625|17|8000
18|69.194559|2550938|0.183842|29|8000
19|72.328286|2635752|0.183842|29|8000
20|75.496326|2722128|0.183842|29|8000
21|78.638838|2817608|0.181617|29|8000
22|81.984367|2920829|0.181617|29|8000
23|85.267421|3035002|0.181617|29|8000
24|88.461917|3137738|0.181617|29|8000
25|91.592420|3231450|0.181617|29|8000
26|94.647025|3329331|0.180872|31|8000
27|97.806124|3429084|0.179236|31|8000
28|100.975447|3528509|0.179236|31|8000
29|104.156683|3638942|0.178407|31|8000
30|107.246118|3742512|0.178407|31|8000
31|109.921010|3789282|0.178132|29|8000
32|112.465079|3824267|0.178132|29|8000
33|115.162537|3863053|0.178132|29|8000
34|117.754081|3906360|0.178131|29|8000
35|120.415371|3959681|0.178131|29|8000
36|123.227329|4032896|0.177590|29|8000
37|126.416652|4137401|0.177590|29|8000
38|130.211540|4287396|0.177590|29|8000
39|134.189725|4443713|0.177120|29|8000
40|138.215376|4598734|0.177120|29|8000
41|142.174772|4745150|0.177120|29|8000
42|146.190003|4896193|0.177120|29|8000
43|150.246648|5053097|0.176968|19|8000
44|154.345423|5207787|0.174560|17|8000
45|158.533438|5362464|0.174241|19|8000
46|162.512022|5502565|0.174241|19|8000
47|165.756717|5595721|0.174241|19|8000
48|168.708564|5662835|0.174241|19|8000
49|171.699254|5732449|0.171584|19|8000
50|174.483451|5786564|0.171584|19|8000
51|176.800180|5812313|0.171584|19|8000
52|179.035603|5832830|0.171584|19|8000
53|181.247827|5857271|0.171584|19|8000
54|183.673645|5892322|0.171584|19|8000
55|186.625058|5958293|0.171584|19|8000
56|190.261898|6072923|0.171584|19|8000
57|193.420090|6154154|0.171584|19|8000
58|195.707986|6172868|0.171584|19|8000
59|197.572171|6172950|0.171584|19|8000
60|199.309648|6172951|0.171584|19|8000
61|201.033689|6172952|0.171584|19|8000
62|202.759123|6172953|0.171584|19|8000
63|204.567100|6172954|0.171584|19|8000
64|206.280517|6172955|0.171584|19|8000
65|207.971072|6172956|0.171584|19|8000
66|209.692661|6172957|0.171584|19|8000
67|211.428357|6172958|0.171584|19|8000
68|213.134271|6172959|0.171584|19|8000
69|214.888892|6172960|0.171584|19|8000
70|216.648077|6172961|0.171584|19|8000
71|218.390427|6172962|0.171584|19|8000
72|220.124245|6172963|0.171584|19|8000
73|221.896847|6172964|0.171584|19|8000
74|223.665825|6172965|0.171584|19|8000
75|225.436855|6172966|0.171584|19|8000
76|227.201391|6172967|0.171584|19|8000
77|228.946124|6172968|0.171584|19|8000
78|230.736106|6172969|0.171584|19|8000
79|232.642589|6172970|0.171584|19|8000
80|234.529749|6172971|0.171584|19|8000
81|236.356873|6172972|0.171584|19|8000
82|238.339120|6172973|0.171584|19|8000
83|240.222746|6172974|0.171584|19|8000
84|241.943193|6172975|0.171584|19|8000
85|243.748358|6172976|0.171584|19|8000
86|245.525438|6172977|0.171584|19|8000
87|247.426623|6172978|0.171584|19|8000
88|249.201273|6172979|0.171584|19|8000
89|251.045484|6172980|0.171584|19|8000
90|252.799545|6172981|0.171584|19|8000
91|254.608212|6172982|0.171584|19|8000
92|256.282639|6172983|0.171584|19|8000
93|258.042242|6172984|0.171584|19|8000
94|259.747262|6172985|0.171584|19|8000
95|261.466083|6172986|0.171584|19|8000
96|263.205691|6172987|0.171584|19|8000
97|264.942322|6172988|0.171584|19|8000
98|266.652267|6172989|0.171584|19|8000
99|268.535026|6172990|0.171584|19|8000
100|270.538556|6172991|0.171584|19|8000
