gen|time|evals|best_fit|best_size|pop_size
1|2.601959|113686|0.214529|23|4000
2|4.786935|207980|0.205210|15|4000
3|6.837942|297976|0.199376|13|4000
4|8.847082|385048|0.199009|9|4000
5|10.610555|451426|0.196164|19|4000
6|12.277377|511492|0.193947|19|4000
7|13.873369|564849|0.193947|19|4000
8|15.408109|612373|0.193947|19|4000
9|16.876326|654489|0.187118|27|4000
10|18.308803|694948|0.187118|27|4000
11|19.740185|735491|0.187118|27|4000
12|21.215861|776247|0.187118|27|4000
13|22.692459|818494|0.187118|27|4000
14|24.176114|862150|0.187118|27|4000
15|25.648692|906295|0.187118|27|4000
16|27.147780|952106|0.187118|27|4000
17|28.657608|998684|0.187118|27|4000
18|30.143933|1046386|0.187118|27|4000
19|31.725176|1095204|0.184543|25|4000
20|33.346620|1147456|0.183523|25|4000
21|35.015996|1208833|0.182118|25|4000
22|36.875534|1286456|0.181739|31|4000
23|38.818316|1384222|0.181739|31|4000
24|41.098953|1497634|0.179195|31|4000
25|43.201958|1610695|0.179195|31|4000
26|45.313136|1722977|0.179161|31|4000
27|47.655782|1830198|0.179161|31|4000
28|49.748031|1937060|0.179161|31|4000
29|51.839588|2042861|0.179161|31|4000
30|54.187524|2147304|0.179043|25|4000
31|56.255132|2241477|0.179043|25|4000
32|57.983421|2303240|0.179043|25|4000
33|59.605031|2356660|0.179043|25|4000
34|61.296566|2414395|0.177977|29|4000
35|63.285760|2497878|0.177780|29|4000
36|65.169809|2591094|0.177759|29|4000
37|66.790965|2663430|0.176891|29|4000
38|68.116467|2695809|0.176891|29|4000
39|69.443568|2730701|0.176543|31|4000
40|70.888182|2773204|0.176543|31|4000
41|72.647268|2836001|0.176543|31|4000
42|74.942628|2940800|0.176543|31|4000
43|77.427030|3064781|0.172656|31|4000
44|79.663177|3166276|0.172095|31|4000
45|81.613461|3245295|0.170932|31|4000
46|83.547203|3323484|0.168574|31|4000
47|85.697361|3402343|0.166263|31|4000
48|87.839933|3482307|0.166263|31|4000
49|89.756506|3549034|0.166263|31|4000
50|91.524496|3610242|0.166263|31|4000
51|93.267255|3673460|0.166263|31|4000
52|95.048385|3739197|0.165016|31|4000
53|97.115663|3811810|0.165016|31|4000
54|99.451145|3896528|0.164279|31|4000
55|101.715247|3989920|0.164279|31|4000
56|104.159955|4081045|0.164279|31|4000
57|106.236865|4150697|0.164279|31|4000
58|108.069340|4201803|0.164279|31|4000
59|109.694802|4246829|0.160590|31|4000
60|111.402333|4296876|0.160590|31|4000
61|112.697944|4324895|0.159996|31|4000
62|113.804709|4343066|0.159996|31|4000
63|114.932176|4361452|0.159996|31|4000
64|116.085759|4380348|0.159996|31|4000
65|117.231278|4399218|0.159996|31|4000
66|118.362772|4417692|0.159996|31|4000
67|119.488626|4435926|0.159996|31|4000
68|120.602535|4454213|0.159996|31|4000
69|121.724134|4472067|0.159996|31|4000
70|122.866341|4489995|0.159996|31|4000
71|124.021965|4508390|0.159996|31|4000
72|125.173315|4526479|0.159996|31|4000
73|126.316100|4544433|0.159996|31|4000
74|127.530905|4562917|0.159996|31|4000
75|128.642482|4579878|0.159996|31|4000
76|129.831196|4596907|0.159996|31|4000
77|131.019822|4614226|0.159996|31|4000
78|132.195076|4631363|0.159996|31|4000
79|133.456729|4648974|0.159996|31|4000
80|134.631771|4666999|0.159996|31|4000
81|135.839533|4684859|0.159996|31|4000
82|137.002064|4702577|0.159996|31|4000
83|138.204070|4721484|0.159996|31|4000
84|139.403080|4739289|0.159996|31|4000
85|140.627050|4757514|0.159996|31|4000
86|141.757814|4775404|0.159996|31|4000
87|142.918177|4793430|0.159996|31|4000
88|144.040827|4811444|0.159996|31|4000
89|145.160138|4829225|0.159996|31|4000
90|146.279981|4847218|0.159996|31|4000
91|147.414190|4864760|0.159996|31|4000
92|148.542065|4882687|0.159996|31|4000
93|149.706446|4900204|0.159996|31|4000
94|150.858755|4919314|0.159996|31|4000
95|152.024787|4937335|0.159996|31|4000
96|153.222402|4955661|0.159996|31|4000
97|154.469891|4975364|0.159996|31|4000
98|155.598030|4994010|0.159996|31|4000
99|156.778214|5012633|0.159996|31|4000
100|157.895195|5031750|0.159996|31|4000
