gen|time|evals|best_fit|best_size|pop_size
1|2.643796|115230|1.849514|31|4000
2|5.128369|255981|1.849514|31|4000
3|8.114075|411856|1.769904|31|4000
4|11.288869|578202|1.732327|31|4000
5|14.647316|752523|1.722531|31|4000
6|17.926022|930186|1.722531|31|4000
7|21.528252|1110362|1.722531|31|4000
8|25.189808|1292247|1.722531|31|4000
9|28.839938|1475693|1.722531|31|4000
10|32.500310|1659708|1.722531|31|4000
11|36.198965|1844516|1.691043|31|4000
12|39.902768|2030437|1.691043|31|4000
13|43.652134|2217211|1.686113|31|4000
14|47.392615|2404919|1.686113|31|4000
15|51.110739|2593063|1.686113|31|4000
16|54.863350|2781786|1.686113|31|4000
17|58.711033|2970876|1.686113|31|4000
18|62.637879|3160787|1.677196|31|4000
19|66.460455|3351174|1.677196|31|4000
20|70.419292|3542130|1.677196|31|4000
21|74.378292|3733446|1.677196|31|4000
22|78.301176|3925183|1.677196|31|4000
23|82.375240|4117102|1.677196|31|4000
24|86.240863|4309451|1.677196|31|4000
25|90.134774|4502228|1.677196|31|4000
26|94.087147|4695399|1.673855|29|4000
27|98.177353|4889466|1.673855|29|4000
28|102.192157|5083404|1.673855|29|4000
29|106.163409|5277184|1.673855|29|4000
30|110.136082|5469874|1.636495|31|4000
31|114.065760|5660670|1.636495|31|4000
32|117.956100|5849716|1.636495|31|4000
33|121.860853|6037880|1.636495|31|4000
34|125.794271|6225131|1.636495|31|4000
35|129.769679|6411799|1.636495|31|4000
36|133.673232|6596633|1.636495|31|4000
37|137.721680|6779558|1.636495|31|4000
38|141.609447|6961319|1.636495|31|4000
39|145.517730|7140685|1.636495|31|4000
40|149.394364|7315569|1.632765|29|4000
41|153.163549|7479615|1.623288|29|4000
42|156.536951|7626861|1.622759|29|4000
43|159.597737|7753285|1.622759|29|4000
44|162.425333|7862772|1.622759|29|4000
45|164.744724|7946149|1.622029|31|4000
46|166.646642|8009108|1.620654|31|4000
47|168.625684|8075921|1.620654|31|4000
48|170.647232|8143262|1.619985|29|4000
49|172.600321|8207554|1.619985|29|4000
50|174.673578|8281316|1.619985|29|4000
