gen|time|evals|best_fit|best_size|pop_size
1|4.039500|156039|1.902305|31|4000
2|7.598694|302345|1.777472|31|4000
3|11.742811|461625|1.708923|31|4000
4|15.834981|627034|1.689227|31|4000
5|20.406906|806873|1.683425|31|4000
6|25.464656|1001641|1.681968|31|4000
7|30.545824|1194523|1.681968|31|4000
8|35.684572|1392246|1.681968|31|4000
9|40.580458|1572302|1.681968|31|4000
10|44.921195|1730354|1.681968|31|4000
11|49.012354|1859828|1.681968|31|4000
12|52.313681|1953412|1.681968|31|4000
13|56.023131|2060168|1.681968|31|4000
14|59.319228|2157691|1.681968|31|4000
15|62.353526|2245077|1.681968|31|4000
16|65.256202|2327944|1.681968|31|4000
17|67.394362|2382813|1.681968|31|4000
18|69.885372|2457426|1.681968|31|4000
19|72.682726|2543690|1.681968|31|4000
20|75.002449|2624760|1.681968|31|4000
21|77.013578|2692850|1.681968|31|4000
22|78.881126|2754659|1.681968|31|4000
23|80.681333|2818248|1.681968|31|4000
24|82.414294|2877379|1.681968|31|4000
25|84.168971|2935774|1.681968|31|4000
26|85.998693|2998152|1.681968|31|4000
27|87.873135|3064422|1.681968|31|4000
28|89.668976|3126132|1.681968|31|4000
29|91.467357|3186720|1.681968|31|4000
30|93.244213|3247062|1.681968|31|4000
31|94.993803|3308008|1.681968|31|4000
32|96.660748|3363077|1.681968|31|4000
33|98.375676|3421554|1.681968|31|4000
34|100.143251|3482487|1.681968|31|4000
35|101.871215|3538120|1.681968|31|4000
36|103.670922|3601451|1.681968|31|4000
37|105.405839|3659692|1.681968|31|4000
38|107.157159|3717767|1.681968|31|4000
39|108.894376|3778050|1.681968|31|4000
40|110.659686|3834176|1.681968|31|4000
41|112.521813|3896367|1.681968|31|4000
42|114.397549|3957889|1.681968|31|4000
43|116.267673|4021370|1.681968|31|4000
44|118.140995|4079407|1.681968|31|4000
45|120.253649|4144516|1.681968|31|4000
46|122.271684|4206769|1.681968|31|4000
47|124.226120|4268765|1.681968|31|4000
48|126.239994|4334432|1.681968|31|4000
49|128.157257|4395778|1.681968|31|4000
50|130.090628|4459541|1.681968|31|4000
