gen|time|evals|best_fit|best_size|pop_size
1|5.349577|101817|3.725558|29|4000
2|9.351776|194977|3.591757|29|4000
3|12.253250|247254|3.204139|29|4000
4|14.592816|295850|3.136082|29|4000
5|17.066717|342132|3.059861|29|4000
6|19.426233|384350|3.056460|29|4000
7|21.329552|422379|3.056460|29|4000
8|23.046824|455813|3.053938|29|4000
9|24.542657|483429|3.039516|27|4000
10|25.892137|503912|3.038712|27|4000
11|27.153267|520960|3.038712|27|4000
12|28.421663|538955|3.038712|27|4000
13|29.669710|555419|3.038712|27|4000
14|30.876146|570698|3.038712|27|4000
15|32.026701|580962|3.038712|27|4000
16|33.134729|590440|3.038712|27|4000
17|34.267170|600076|3.038712|27|4000
18|35.405189|609742|2.957277|23|4000
19|36.564317|619521|2.949881|23|4000
20|37.761669|629249|2.949881|23|4000
21|38.950820|639123|2.931508|25|4000
22|40.216206|648984|2.931508|25|4000
23|41.539519|658913|2.920377|25|4000
24|42.787476|669078|2.915884|25|4000
25|43.995143|679499|2.884780|25|4000
26|45.232203|690377|2.884780|25|4000
27|46.526766|702076|2.884780|25|4000
28|47.969149|714793|2.884780|25|4000
29|49.288376|729037|2.881435|25|4000
30|50.719529|746400|2.881435|25|4000
31|52.339042|770587|2.765695|23|4000
32|54.334979|812177|2.635270|23|4000
33|57.821846|885059|2.635270|23|4000
34|61.277431|979021|2.635270|23|4000
35|64.434378|1062754|2.635270|23|4000
36|67.575217|1147045|2.635270|23|4000
37|70.843427|1234644|2.628676|23|4000
38|73.976213|1318314|2.628676|23|4000
39|77.117554|1401629|2.627266|23|4000
40|80.322067|1483865|2.627266|23|4000
41|83.360262|1551967|2.625846|23|4000
42|86.275172|1622306|2.625846|23|4000
43|87.984738|1655693|2.625846|23|4000
44|89.573258|1683990|2.625846|23|4000
45|91.083941|1710578|2.625846|23|4000
46|92.648656|1738798|2.625846|23|4000
47|94.172300|1766641|2.622735|23|4000
48|95.841754|1797434|2.622735|23|4000
49|97.677275|1830176|2.622376|23|4000
50|99.532094|1866776|2.622376|23|4000
