gen|time|evals|best_fit|best_size|pop_size
1|2.221624|77262|0.162722|5|4000
2|3.401110|148879|0.162722|5|4000
3|4.443281|154749|0.162722|5|4000
4|5.263182|158328|0.145854|11|4000
5|6.042130|160488|0.145854|11|4000
6|6.825233|162379|0.140771|11|4000
7|7.583478|164194|0.140771|11|4000
8|8.334304|165993|0.138365|11|4000
9|9.106628|167825|0.138365|11|4000
10|9.853018|169709|0.138365|11|4000
11|10.662055|171591|0.138365|11|4000
12|11.471664|173503|0.138365|11|4000
13|12.311882|175479|0.138365|11|4000
14|13.064824|177508|0.138365|11|4000
15|13.802318|179581|0.138365|11|4000
16|14.557932|181758|0.138365|11|4000
17|15.343430|184026|0.138365|11|4000
18|16.130534|186300|0.138365|11|4000
19|16.893940|188698|0.138036|11|4000
20|17.625781|191244|0.138036|11|4000
21|18.378071|193926|0.138036|11|4000
22|19.145448|196656|0.138036|11|4000
23|19.925125|199361|0.138036|11|4000
24|20.732683|202248|0.135450|11|4000
25|21.521291|205260|0.135450|11|4000
26|22.275214|208845|0.135450|11|4000
27|23.087858|211824|0.135450|11|4000
28|23.869731|214502|0.135450|11|4000
29|24.684700|217728|0.135450|11|4000
30|25.455818|223602|0.135450|11|4000
31|26.260634|232610|0.134357|11|4000
32|27.185665|240231|0.134357|11|4000
33|28.094795|243009|0.134357|11|4000
34|28.885227|245084|0.134357|11|4000
35|29.654263|247157|0.134357|11|4000
36|30.402494|249200|0.134357|11|4000
37|31.207814|251348|0.121005|9|4000
38|31.979487|253755|0.121005|9|4000
39|32.775736|256327|0.121005|9|4000
40|33.561027|259091|0.121005|9|4000
41|34.339522|261879|0.121005|9|4000
42|35.137922|265065|0.121005|9|4000
43|35.965157|268770|0.121005|9|4000
44|36.765625|273220|0.121005|9|4000
45|37.626141|278700|0.121005|9|4000
46|38.478254|285712|0.121005|9|4000
47|39.336713|293877|0.121005|9|4000
48|40.151045|304133|0.121005|9|4000
49|41.017907|322194|0.121005|9|4000
50|41.968046|342532|0.121005|9|4000
