gen|time|evals|best_fit|best_size|pop_size
1|2.495370|113275|0.037718|25|4000
2|4.154815|189808|0.037718|25|4000
3|5.596180|243804|0.037022|25|4000
4|7.439205|356637|0.037022|25|4000
5|9.624024|499245|0.036914|29|4000
6|11.884055|640089|0.036914|29|4000
7|14.211353|770707|0.036880|29|4000
8|16.826696|917690|0.036804|29|4000
9|18.347804|969787|0.036804|29|4000
10|19.341704|971361|0.036804|29|4000
11|20.189514|971478|0.036761|29|4000
12|20.925067|971598|0.036761|29|4000
13|21.627625|971737|0.036761|29|4000
14|22.312626|971869|0.036761|29|4000
15|23.075916|972004|0.036761|29|4000
16|23.812404|972140|0.036761|29|4000
17|24.536614|972318|0.036760|29|4000
18|25.201601|972582|0.036757|29|4000
19|25.894145|972949|0.036757|29|4000
20|26.551425|973457|0.036757|29|4000
21|27.254999|974036|0.036757|29|4000
22|27.945104|974818|0.036757|29|4000
23|28.660558|975740|0.036757|29|4000
24|29.397043|976851|0.036757|29|4000
25|30.126829|978144|0.036743|29|4000
26|30.859921|979512|0.036743|29|4000
27|31.772557|981032|0.036743|29|4000
28|32.544383|982802|0.036743|29|4000
29|33.345876|984860|0.036743|29|4000
30|34.060047|986946|0.036743|29|4000
31|34.841606|989433|0.036743|29|4000
32|35.611560|992297|0.036713|29|4000
33|36.380528|996994|0.036713|29|4000
34|37.193486|1001764|0.036713|29|4000
35|38.034892|1010400|0.036713|29|4000
36|38.990193|1025026|0.036713|29|4000
37|40.299323|1050400|0.036713|29|4000
38|41.807058|1094468|0.036713|29|4000
39|43.536185|1154977|0.036713|29|4000
40|44.768594|1179717|0.036713|29|4000
41|45.534911|1179718|0.036713|29|4000
42|46.212708|1179719|0.036713|29|4000
43|46.893962|1179720|0.036713|29|4000
44|47.558026|1179721|0.036713|29|4000
45|48.236543|1179722|0.036713|29|4000
46|48.902238|1179723|0.036713|29|4000
47|49.589379|1179724|0.036713|29|4000
48|50.250610|1179725|0.036713|29|4000
49|50.959602|1179726|0.036713|29|4000
50|51.636776|1179727|0.036713|29|4000
