gen|time|evals|best_fit|best_size|pop_size
1|2.550425|113686|0.214529|23|4000
2|4.626086|207980|0.205210|15|4000
3|6.566468|297976|0.199376|13|4000
4|8.495229|385048|0.199009|9|4000
5|10.157490|451426|0.196164|19|4000
6|11.702823|511492|0.193947|19|4000
7|13.216174|564849|0.193947|19|4000
8|14.753101|612373|0.193947|19|4000
9|16.217005|654489|0.187118|27|4000
10|17.582343|694948|0.187118|27|4000
11|19.002925|735491|0.187118|27|4000
12|20.356592|776247|0.187118|27|4000
13|21.677810|818494|0.187118|27|4000
14|23.063516|862150|0.187118|27|4000
15|24.444543|906295|0.187118|27|4000
16|25.831979|952106|0.187118|27|4000
17|27.316622|998684|0.187118|27|4000
18|28.735733|1046386|0.187118|27|4000
19|30.126873|1095204|0.184543|25|4000
20|31.538024|1147456|0.183523|25|4000
21|33.031606|1208833|0.182118|25|4000
22|34.678462|1286456|0.181739|31|4000
23|36.511569|1384222|0.181739|31|4000
24|38.490255|1497634|0.179195|31|4000
25|40.435398|1610695|0.179195|31|4000
26|42.386171|1722977|0.179161|31|4000
27|44.315464|1830198|0.179161|31|4000
28|46.259405|1937060|0.179161|31|4000
29|48.167725|2042861|0.179161|31|4000
30|50.089068|2147304|0.179043|25|4000
31|51.924810|2241477|0.179043|25|4000
32|53.471024|2303240|0.179043|25|4000
33|54.948423|2356660|0.179043|25|4000
34|56.424435|2414395|0.177977|29|4000
35|58.052535|2497878|0.177780|29|4000
36|59.780775|2591094|0.177759|29|4000
37|61.266516|2663430|0.176891|29|4000
38|62.506064|2695809|0.176891|29|4000
39|63.805407|2730701|0.176543|31|4000
40|65.203939|2773204|0.176543|31|4000
41|66.787302|2836001|0.176543|31|4000
42|68.867138|2940800|0.176543|31|4000
43|71.213525|3064781|0.172656|31|4000
44|73.386996|3166276|0.172095|31|4000
45|75.331803|3245295|0.170932|31|4000
46|77.239759|3323484|0.168574|31|4000
47|79.254199|3402343|0.166263|31|4000
48|81.140341|3482307|0.166263|31|4000
49|82.868777|3549034|0.166263|31|4000
50|84.644931|3610242|0.166263|31|4000
