gen|time|evals|best_fit|best_size|pop_size
1|3.642851|147200|0.209589|31|4000
2|6.847598|286476|0.205203|31|4000
3|10.298365|423919|0.198621|31|4000
4|14.168052|565451|0.191648|31|4000
5|18.157038|726014|0.186218|31|4000
6|22.153612|880212|0.182175|31|4000
7|26.190691|1046017|0.179686|31|4000
8|30.276572|1207854|0.176143|31|4000
9|34.131871|1365569|0.174364|31|4000
10|38.005363|1517757|0.174314|31|4000
11|41.358630|1645020|0.174314|31|4000
12|44.480265|1759165|0.173418|31|4000
13|47.550988|1868904|0.173418|31|4000
14|50.934314|1978310|0.173418|31|4000
15|54.344448|2081218|0.173418|31|4000
16|57.700359|2176687|0.173418|31|4000
17|60.801167|2268802|0.173418|31|4000
18|64.082237|2367100|0.173418|31|4000
19|67.384842|2464177|0.173418|31|4000
20|70.659762|2561793|0.173418|31|4000
21|73.953590|2662150|0.173418|31|4000
22|77.276350|2764045|0.173418|31|4000
23|80.589588|2863612|0.173418|31|4000
24|83.902273|2964200|0.173418|31|4000
25|87.394688|3063544|0.173418|31|4000
26|90.944187|3165312|0.173418|31|4000
27|94.566511|3269294|0.173418|31|4000
28|98.020520|3372687|0.173418|31|4000
29|101.381817|3473246|0.173418|31|4000
30|104.743690|3570381|0.173418|31|4000
31|108.075851|3669851|0.173418|31|4000
32|111.389987|3770543|0.173418|31|4000
33|114.892831|3872476|0.173418|31|4000
34|118.304401|3975371|0.173418|31|4000
35|121.734993|4073728|0.173418|31|4000
36|125.089793|4171078|0.173418|31|4000
37|128.506883|4272526|0.173418|31|4000
38|131.892927|4371593|0.173418|31|4000
39|135.085129|4466697|0.173418|31|4000
40|138.353460|4564393|0.173418|31|4000
41|141.585541|4662931|0.173418|31|4000
42|144.756718|4756665|0.173418|31|4000
43|148.226713|4853964|0.173418|31|4000
44|151.511674|4951497|0.173418|31|4000
45|154.769501|5050004|0.173418|31|4000
46|158.001901|5146040|0.173418|31|4000
47|161.319436|5245624|0.173418|31|4000
48|164.694035|5345744|0.173418|31|4000
49|167.950167|5443680|0.173418|31|4000
50|171.257222|5543670|0.173418
