gen|time|evals|best_fit|best_size|pop_size
1|2.074316|94737|0.174667|29|4000
2|3.557940|203876|0.161172|31|4000
3|5.087168|289840|0.158883|31|4000
4|6.491450|358150|0.157810|31|4000
5|7.783577|411467|0.156854|29|4000
6|8.998787|456220|0.156557|29|4000
7|10.222812|496115|0.152486|29|4000
8|11.380415|534485|0.150553|29|4000
9|12.573740|573497|0.149015|29|4000
10|13.778340|613540|0.149015|29|4000
11|14.998964|654973|0.148111|29|4000
12|16.126785|699751|0.147953|29|4000
13|17.315811|745209|0.144788|29|4000
14|18.495189|797716|0.144788|29|4000
15|19.743691|856802|0.141971|31|4000
16|21.055098|924810|0.137386|29|4000
17|22.378093|998367|0.137071|29|4000
18|23.697784|1072758|0.137071|29|4000
19|25.012819|1150052|0.137071|29|4000
20|26.574557|1232176|0.137071|29|4000
21|28.007585|1320441|0.135524|31|4000
22|29.487556|1414482|0.133671|31|4000
23|31.016593|1514150|0.131949|31|4000
24|32.594921|1614467|0.131147|31|4000
25|34.188150|1714807|0.130534|31|4000
26|35.745378|1814675|0.129723|31|4000
27|37.281844|1913327|0.129538|31|4000
28|38.809042|2011347|0.129538|31|4000
29|40.304814|2104110|0.128704|31|4000
30|41.617032|2172908|0.128437|31|4000
31|42.761696|2215877|0.125681|31|4000
32|43.894473|2255532|0.125681|31|4000
33|45.061991|2303417|0.125681|31|4000
34|46.360657|2362936|0.125681|31|4000
35|47.721462|2436105|0.125681|31|4000
36|49.176276|2514426|0.125349|31|4000
37|50.448710|2570256|0.125349|31|4000
38|51.804019|2638128|0.125349|31|4000
39|53.307068|2718333|0.124658|31|4000
40|54.702581|2784465|0.124658|31|4000
41|55.919197|2831307|0.124658|31|4000
42|57.048238|2869795|0.124658|31|4000
43|58.265574|2914937|0.124658|31|4000
44|59.608229|2975033|0.124658|31|4000
45|61.028078|3046988|0.124658|31|4000
46|62.422130|3115165|0.124461|31|4000
47|63.838395|3185998|0.124382|23|4000
48|65.328487|3265344|0.124382|23|4000
49|66.719446|3332771|0.124382|23|4000
50|68.013458|3386893|0.124382|23|4000
